year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct
1981,0.983,12.37500095,5.782000065,-2.832999945,18.96800041,23.62800026,-1.25
1982,0.965,12.7140007,4.956999779,-4.427999973,20.47200012,49.77500153,3.14
1983,0.996,12.83300018,6.482999802,-5.886000156,19.18400002,41.63899994,1.74
1984,1.012,12.11900043,4.241000175,-5.190000057,19.99799919,59.90999985,3.05
1985,0.962,9.729000092,1.784000039,-2.575000048,17.67499924,51.43000031,2.02
1986,0.99,11.66300011,3.270999908,-4.888000011,20.05699921,50.9679985,2.91
1987,0.966,8.430000305,0.451999992,-0.913999975,16.4090004,70.73200226,0.81
1988,1.049,11.22600079,2.36500001,-2.519000053,20.08799934,7.403999805,-3.76
1989,0.96,10.71900082,3.506000042,-3.573999882,17.93300056,71.31800079,0.76
1990,0.968,10.78600025,3.844000101,-5.695000172,17.72900009,60.24599838,0.72
1991,1,11.96000099,4.919000149,-3.806999922,19.00200081,38.19900131,1.21
1992,0.972,9.820000648,2.645999908,-2.048000097,16.99600029,20.15299988,2.72
1993,0.896,8.119000435,1.613000035,-2.48300004,14.625,50.8030014,2.84
1994,0.998,11.69800091,4.184999943,-2.038000107,19.21299934,24.83200073,0.86
1995,0.988,11.06200027,3.845000029,-5.972000122,18.28000069,35.56600189,2.98
1996,1.043,10.92400074,3.273999929,-4.584000111,18.57699966,27.00499916,2.78
1997,0.989,10.20000076,3.736000061,-4.06799984,16.66500092,66.07299805,5.04
1998,1.015,11.78800011,4.972000122,-3.051000118,18.60499954,55.2879982,0.56
1999,1.006,11.51300049,4.899000168,-4.078999996,18.12800026,59.86600113,0.74
2000,1.053,12.38600063,4.936999798,-2.551000118,19.83699989,25.64599991,-1.03
2001,1.029,12.95000076,5.31099987,-2.915999889,20.59000015,15.44799995,-1.86
2002,0.984,9.552000046,2.483999968,-5.087999821,16.62100029,51.15999985,1.31
2003,1.072,13.25700092,6.532000065,-3.572000027,19.98200035,18.11899948,-2.52
2004,0.94,9.112000465,2.694000006,-3.292999983,15.53100014,77.56300354,2.19
2005,0.994,10.84900093,3.910000086,-4.098999977,17.78800011,56.93999863,-0.51
2006,0.993,11.15400028,3.687000036,-2.496000051,18.62199974,17.15399933,-1.74
2007,1.021,12.20500088,5.160999775,-2.585999966,19.25099945,46.89799881,-0.56
2008,0.969,11.6600008,4.175000191,-3.719000101,19.14699936,21.81100082,-1.02
2009,0.983,10.48900032,3.558000088,-4.107999802,17.42000008,50.35499954,1.92
2010,0.986,10.81300068,3.789999962,-7.111999989,17.83799934,56.03499985,-0.79
2011,1.005,12.18200016,5.06799984,-4.586999893,19.29700089,34.92200089,1.32
2012,1.026,12.69800091,5.222000122,-4.063000202,20.17499924,22.34900093,-2.19
2013,1.012,12.8930006,5.77699995,-2.667999983,20.01000023,29.19799995,-0.61
2014,0.946,10.12100029,4.239999771,-3.285000086,16.00300026,93.75,2.57
2015,1.035,11.27400017,4.462999821,-2.77699995,18.08699989,60.03099823,-2.08
,,10.95100021,3.407000065,-2.693000078,18.49500084,20.57900047,-2.15
,,11.23300076,4.250999928,-3.457999945,18.21699905,41.97700119,-1.33
,,11.00700092,4.058000088,-0.935000002,17.95700073,45.24000168,3.63
,,11.51049995,4.505000114,-4.590000153,18.51600075,42.63000107,1.83
,,,,,,,-4.13
