year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1956,0.598,10.17300034,3.309000015,17.03800011,40.19900131,1.77,8.544000387,1.976999991,15.34549999,137.828001,1.3875
1957,0.811,11.69100094,4.907000065,18.47500038,37.79000092,4.93,8.720500469,2.096249968,14.96475029,94.10200119,3.2375
1958,0.731,7.474000454,0.739000022,14.21000004,74.68699646,2.91,8.257250547,1.550500051,13.87975001,216.6360054,5.96
1959,1.023,10.55600071,3.423000097,17.69000053,32.53099823,1.1,7.290500402,0.702250019,14.71150017,221.1589928,2.5225
1960,0.85,12.41700077,5.143000126,19.69199944,18.54899979,-2.37,8.050500512,1.390500039,15.74449992,114.0699959,2.475
1961,0.944,11.16100025,3.881999969,18.44199944,46.37599945,-3.63,8.615000486,1.486500027,15.05274975,120.5049973,-2.145
1962,0.887,8.877000809,1.906999946,15.84799957,63.42100143,3.36,8.42575027,1.800000012,13.89674997,118.7160006,-3.2475
1963,1.087,11.1430006,4.078000069,18.20899963,23.52599907,1.83,7.29575038,0.69524999,15.34675002,216.5340004,2.9425
1964,0.97,12.45700073,5.510000229,19.40500069,23.0170002,2.19,8.946000218,2.546000023,14.17225027,143.8459987,3.1225
1965,0.889,10.02400017,3.26699996,16.78199959,47.10100174,3.71,7.572500348,0.973250047,12.21149993,200.6819973,2.8725
1966,0.928,12.86200047,6.03399992,19.69000053,23.37800026,-1.39,5.750000224,-0.711249992,15.29175019,172.2509995,4.0425
1967,0.93,10.89600086,3.862999916,17.93099976,56.36199951,3.44,8.778000474,2.264750004,15.01999998,130.347002,0.0375
1968,0.913,10.24800014,2.89199996,17.60499954,26.50200081,3.93,8.397250414,1.775249973,13.63249993,233.9579964,4.135
1969,0.714,9.933000565,2.799999952,17.06699944,54.76100159,2.01,6.925750256,0.219749957,15.06649971,256.0869923,3.5475
1970,0.808,10.51000023,3.181999922,17.8390007,50.18099976,1.38,8.284750521,1.504249975,14.83950019,228.5420018,2.2525
1971,0.633,8.744000435,1.235000014,16.25300026,34.33499908,1.75,8.128500342,1.418249995,14.29950023,146.4660034,2.4725
1972,0.728,8.187000275,0.953999996,15.42000008,59.27500153,3.14,7.500000298,0.700750031,13.36699986,126.0540009,2.885
1973,0.921,10.16900063,2.852999926,17.48500061,27.64500046,-1.58,6.811250329,0.255999983,14.51625013,183.7380066,3.19
1974,1.042,11.50700092,4.605999947,18.4090004,35.05199814,2.39,7.582000375,0.648500011,14.87175012,119.8240013,-0.0125
1975,1.149,11.78300095,4.910999775,18.65699959,83.79000092,3.99,7.76325047,0.655749954,13.73574996,159.064003,2.7825
1976,1.08,11.56200027,4.679999828,18.44400024,34.30699921,3.64,7.018250465,0.30174993,14.42624998,229.553997,3.8725
1977,1.081,9.74200058,2.443000078,17.04299927,38.77000046,-2.89,7.909250379,1.393499943,14.36574984,160.6360016,4.485
1978,1.146,9.297000885,2.237999916,16.35700035,54.03699875,1.91,7.686250329,1.008000016,14.01625013,163.5469971,-3.4025
1979,1.063,10.89900017,3.900000095,17.89900017,24.09700012,-1.16,7.100500464,0.18599999,15.28450012,123.0899983,2.495
1980,0.928,10.68300056,3.752000093,17.61400032,56.77299881,0.3,8.809250236,2.335000032,13.91050005,154.5100021,-0.0525
1981,0.978,10.48400021,3.448999882,17.52000046,45.87900162,0.57,7.32700038,0.744250018,14.95150042,175.7060013,0.07
1982,1.023,9.111000061,1.546000004,16.6779995,48.0890007,2.59,8.341000438,1.731749952,14.28124976,193.5699997,1.075
1983,1.148,9.762000084,3.306999922,16.21899986,75.22399902,1.75,7.31275022,0.345999986,13.80424976,204.1009979,2.555
1984,1.361,10.65300083,2.730999947,18.57699966,66.2480011,1.76,7.585250378,1.367499978,14.3297503,179.125,1.7025
1985,1.029,11.64000034,3.621000051,19.65999985,52.05899811,-1.56,6.790750533,-0.747000039,14.51374984,187.5109978,1.3375
1986,1.005,8.543000221,1.054999948,16.03300095,90.6289978,2.42,7.116500258,-0.279500038,15.21250057,163.8919983,-2.025
1987,1.248,9.256000519,1.889999986,16.62400055,126.4830017,2.31,7.636500359,0.061499953,14.16875029,197.1359978,2.1125
1988,1.626,12.6430006,4.842000008,20.44599915,7.705999851,-2.74,6.953750253,-0.260749997,17.33624935,259.4090042,-1.34
1989,0.725,12.71000099,3.792000055,21.62800026,62.10100174,1.2,9.242500305,1.149750084,15.60725021,69.59700155,-1.315
1990,0.951,9.248000145,1.789000034,16.70800018,56.35499954,0.33,7.856000423,0.104500055,14.85275006,180.9440041,-0.3325
1991,1.098,9.829000473,2.135999918,17.52499962,29.14900017,0.65,7.67350018,0.495250019,14.7349999,150.4430008,0.0175
1992,0.758,6.602000237,0.050999999,13.15499973,117.0090027,2.69,7.54575038,0.35799998,12.62325001,118.8599987,1.4325
1993,0.645,5.116000175,-1.151000023,11.38300037,108.5879974,3.25,5.977250218,-0.668000013,10.88499999,316.0009994,1.375
1994,1.026,8.906000137,0.93900001,16.87400055,72.82700348,-0.88,4.573750257,-1.736250018,15.30025053,258.027996,1.7475
1995,0.835,8.495000839,1.450000048,15.53999996,64.14399719,2.51,7.703250408,0.106750012,13.67250013,153.2590046,-1.0325
1996,0.869,9.841000557,1.549000025,18.13400078,27.52300072,1.9,6.672250271,-0.326999992,14.56799984,179.7649994,2.38
1997,0.819,8.671000481,1.746000051,15.59700012,83.10199738,4.78,6.967500448,-0.631750018,14.00825,80.23699951,3.5825
1998,1.164,11.83600044,3.971999884,19.70299911,55.70299911,1.63,7.399250269,0.79125002,14.495,225.4240036,4.0925
1999,1.067,9.909000397,2.290999889,17.52899933,55.15999985,1.15,7.911500424,1.329000026,13.579,246.8590049,0.6175
2000,1.102,11.0010004,3.148000002,18.85499954,22.3220005,-1.24,6.776250362,-0.0255,15.05200005,183.3890038,1.0775
2001,1.11,11.29700089,3.727999926,18.86899948,59.48199844,-2.51,7.850500345,0.649749995,16.24825001,118.3349991,-0.445
2002,1.164,12.45000076,4.677999973,20.22400093,83.91799927,1.36,8.921000481,1.595249962,15.07400012,172.0219975,-2.5025
2003,1.33,12.7130003,4.525000095,20.90200043,14.10400009,-2.14,8.047500253,1.022249982,15.49199986,209.8239975,0.2425
2004,0.884,9.515000343,2.476999998,16.55500031,46.63700104,1.53,8.502750278,1.51425007,12.8690002,90.37099838,-0.4225
2005,1.225,11.16400051,3.555000067,18.77400017,46.2159996,0.38,6.538250208,0.20874998,14.30899978,202.6490021,-1.32
2006,0.993,12.98900032,5.256000042,20.72299957,42.04499817,-3.11,7.603250384,0.898499996,16.06374979,191.3220024,-0.46
2007,0.595,13.8550005,5.854000092,21.8560009,60.4280014,-2.08,8.845000386,1.627999999,16.70675015,105.2989979,-2.42
2008,0.803,11.03300095,2.951999903,19.11599922,16.08099937,-1.19,9.484250307,2.262750007,14.78924966,170.9840012,-2.1075
2009,0.808,9.466000557,1.871000051,17.06299973,69.37400055,2.23,7.521500468,0.255499959,14.92825031,105.2570038,1.025
2010,0.846,9.98900032,2.253000021,17.72599983,36.24200058,1.07,7.847250342,0.767250031,14.54375005,231.9419976,1.68
2011,0.97,10.81700039,2.928999901,18.70700073,32.67499924,2.24,7.562000394,0.581499979,15.59675002,199.8839989,0.625
2012,0.972,12.37500095,4.632999897,20.11800003,52.8030014,-2.25,8.31000042,1.024499979,16.90624976,123.0369988,3.25
2013,0.997,12.16800022,4.291999817,20.04500008,57.11100006,-1.89,9.359750509,1.814249948,16.05324984,102.2090015,-0.8075
2014,1.078,11.10100079,3.174999952,19.02899933,37.24700165,3.06,9.149000406,2.246249959,14.19024968,126.7830009,-1.505
2015,1.232,9.833000183,2.871999979,16.79599953,61.20000076,-1.17,7.608500481,1.028499961,15.86499977,209.3709946,2.8025
,,9.976000786,2.394999981,17.55900002,53.20899963,-3.53,8.952750325,2.042000011,15.86874986,168.2020035,-1.32
,,12.18800068,4.238999844,20.13999939,46.36199951,1.63,8.598250628,1.329250019,15.48300004,97.14900017,-2.9
,,11.60900021,3.795000076,19.42399979,17.50099945,1.91,8.358000398,1.233999975,15.71525002,139.317997,2.315
,,10.32940006,2.887000084,17.77199936,74.29599762,-1.24,8.490750194,1.267000042,14.43149972,176.4040032,1.7625
,,,,,,-4.6,7.761074781,1.090750057,,192.8500023,1.7575
,,,,,,,,,,,0.2625
