year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1970,1.168,12.77400017,4.994999886,-4.085999966,20.55400085,30.87999916,2.19,8.651750267,128.7919979,1.813333333,1.481249958,15.82325029
1971,1.145,13.47500038,5.967999935,-3.924999952,20.9829998,35.29399872,2.45,8.215500355,115.2880001,2.013333333,1.100999967,15.33050013
1972,1.126,10.73700047,3.532999992,-3.862999916,17.94199944,61.10200119,3.85,7.545250237,176.8429985,3.593333333,0.653750003,14.43799973
1973,1.137,11.13400078,3.617000103,-4.948999882,18.65299988,33.31999969,-1.3,7.780750334,115.8439999,-1.226666667,0.455750069,15.10699987
1974,1.138,8.407999992,0.806999981,-5.290999889,16.01000023,58.47100067,1.21,7.556500271,138.2500019,1.44,0.369000003,14.74475014
1975,1.121,8.511000633,1.363999963,-6.343999863,15.65999985,35.13899994,3.62,6.351000488,207.0530014,3.443333333,-0.540749937,13.24374986
1976,1.158,9.391000748,2.22300005,-3.453000069,16.55999947,29.62000084,2.45,7.882000506,142.2999992,2.853333333,0.650749967,15.11474991
1977,1.174,8.625,1.35800004,-3.746000051,15.89299965,59.33200073,-3.14,7.801000237,148.4980011,-3.043333333,0.979750037,14.62275004
1978,1.139,9.124000549,1.425999999,-4.896999836,16.8220005,13.27600002,1.66,6.754000187,103.2740011,1.9,-0.273749963,13.78299999
1979,1.127,10.39800072,3.588000059,-4.204999924,17.20899963,58.05699921,-1.97,7.914500475,139.2919979,-1.71,1.171000004,14.65875006
1980,1.122,8.527000427,1.572000027,-2.75,15.4829998,39.07799911,1.61,7.652500451,156.5319977,0.886666667,0.992500007,14.31325006
1981,1.163,11.93500042,4.926000118,-3.568000078,18.94499969,21.7840004,-0.98,7.77150023,174.0949974,-0.353333333,1.189500049,14.35424972
1982,1.155,11.82300091,2.657999992,-4.902999878,20.98999977,42.41799927,2.86,7.095250458,188.0649948,2.656666667,-0.454749972,14.64625001
1983,1.146,12.43600082,5.487999916,-6.287000179,19.38699913,31.71100044,1.48,7.18000035,150.1650028,1.316666667,0.45449996,13.90674973
