year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
2000,0.961,11.83700085,3.697000027,19.97800064,48.59999847,1.37,8.714750409,1.238000021,16.19175029,109.8840027,0.0775
2001,0.885,12.09900093,4.252999783,19.9470005,20.2310009,-0.48,9.781000495,2.182999935,17.38074994,154.1939983,-1.8125
2002,0.954,13.22200108,5.142000198,21.30200005,49.49300003,-1.79,8.876500487,1.574000036,16.18024993,188.5940056,1.47
2003,1.067,13.54400063,5.051000118,22.03800011,69.94000244,1.86,9.375250459,2.133000053,16.61775017,77.04999924,-0.3725
2004,0.724,10.3220005,3.003999949,17.64100075,8.670000076,-2.49,7.401000381,0.847499982,13.95575023,179.3030052,-2.02
2005,1.031,11.95500088,4.041999817,19.87000084,37.56100082,-1.02,8.430250525,1.471499935,15.39024997,168.4539986,-0.825
2006,0.932,13.74600029,5.695000172,21.79800034,34.47299957,-0.58,9.670500517,2.168750063,17.1735003,98.63799953,-2.5
2007,0.871,14.66200066,6.406000137,22.91900063,37.23500061,-3.31,10.32800066,2.861500088,17.79575014,156.0589981,-1.9525
2008,1.02,11.77500057,3.398000002,20.15399933,53.32899857,-1.93,8.358500361,0.851500004,15.86674953,100.8310032,1.125
2009,0.985,10.23200035,2.397000074,18.06800079,12.45199966,-1.13,8.667000532,1.368500009,15.96625042,225.0040016,1.84
2010,0.93,10.7850008,2.790999889,18.78000069,69.38200378,2.62,8.41375041,1.196999993,15.63150048,172.9799996,0.83
2011,0.999,11.59500027,3.35800004,19.83300018,23.79899979,1.2,9.154250264,1.584249988,16.72550011,128.0949974,3.5025
2012,1.021,13.18500042,5.103000164,21.2670002,34.88399887,2.91,10.22425032,2.371500091,18.07774997,90.04199982,0.6225
2013,1.211,12.94900036,4.847000122,21.0510006,45.84700012,-2.03,9.981000304,2.845000044,17.11750031,115.4819965,-1.35
2014,1.072,11.88200092,3.688999891,20.07799911,50.91999817,-1.97,8.458250403,1.64624998,15.27150011,190.2639961,3.2125
2015,1.152,10.65200043,3.437000036,17.86800003,30.67399979,3.53,9.813750505,2.628999978,17.0005002,133.8730011,-1.4025
,,10.8560009,2.946000099,18.76799965,44.19499969,-1.91,9.461500525,1.91975002,17.00475025,82.49499988,-3.525
,,12.99600029,4.732999802,21.26000023,41.11199951,-4.14,9.205000281,1.833499931,16.57749987,134.4709969,2.0725
,,12.37200069,4.28399992,20.46100044,43.59199905,1.61,9.281000495,1.834750008,16.72825027,163.8099985,1.9
,,11.0909996,3.378000021,18.80400085,14.4460001,1.81,8.590124726,1.663000018,15.51725054,172.5950012,2.6325
,,,,,67.01200104,0.91,,,,,0.8475
,,,,,,-4.19,,,,,
