year,chron,tmax.lsum,stream.yel,swe.yel
1142,0.345,-1.29,164.7352106,94.511
1143,0.503,-1.25,137.02078,40.094
1144,0.388,-0.8,174.4963855,53.412
1145,0.354,-0.17,95.45230835,55.58
1146,0.487,-0.13,142.4906723,38.645
1147,0.382,-0.8,103.940891,60.342
1148,0.412,0.8,60.226335,61.949
1149,0.536,0.32,107.841628,52.972
1150,0.355,0.51,70.43466211,72.816
1151,0.317,-1.59,73.75414546,60.164
1152,0.335,0.69,84.68108922,48.702
1153,0.302,-1.18,91.36638364,65.467
1154,0.334,-0.36,109.5939135,50.638
1155,0.268,0.17,105.3868529,51.095
1156,0.291,0.32,62.3428189,54.597
1157,0.244,-0.06,97.67567823,69.029
1158,0.287,-0.28,71.74414024,70.867
1159,0.246,0.21,81.99482353,50.89
1160,0.284,0.17,71.90952757,48.417
1161,0.336,1.14,58.85541625,52.025
1162,0.372,0.95,90.73742188,43.054
1163,0.378,1.59,128.1700151,44.241
1164,0.359,1.22,87.25421899,44.04
1165,0.443,-0.36,117.161908,49.345
1166,0.315,-0.8,82.5631845,56.599
1167,0.338,0.02,91.36638364,48.083
1168,0.467,0.24,106.3619854,36.302
1169,0.351,-0.73,112.6643293,53.087
1170,0.24,0.21,84.29201495,55.294
1171,0.299,-0.09,77.40810495,50.938
1172,0.304,-0.36,84.68108922,57.788
1173,0.345,0.06,96.11395214,43.463
1174,0.254,0.8,61.06416678,53.316
1175,0.269,0.92,93.71010738,57.175
1176,0.336,-1.29,55.94824082,55.629
1177,0.404,0.13,90.5287316,46.971
1178,0.451,-0.39,97.45103041,43.634
1179,0.3,-0.36,85.07195936,49.086
1180,0.255,-0.47,88.46804609,61.899
1181,0.444,-0.02,143.4783704,49.294
1182,0.451,-0.02,162.4749588,53.128
1183,0.484,0.17,102.5147686,28.654
1184,0.471,0.65,113.9689207,41.561
1185,0.382,0.69,75.99524781,72.249
1186,0.385,1.4,108.0902286,42.199
1187,0.249,-0.62,108.3394024,71.811
1188,0.295,-0.47,123.2498603,42.865
1189,0.35,1.25,78.48495896,65.915
1190,0.405,1.48,124.9644366,44.968
1191,0.376,2.04,107.3461407,54.389
1192,0.431,0.77,152.3303485,58.435
1193,0.381,1.82,113.9689207,43.283
1194,0.235,0.47,67.10987587,68.51
1195,0.319,0.39,208.3466086,48.323
1196,0.384,0.24,103.940891,47.109
1197,0.317,-0.99,176.1109807,50.321
1198,0.419,0.28,83.90472832,50.276
1199,0.368,-0.88,83.32713224,41.103
1200,0.468,-1.07,116.8924431,76.18
1201,0.513,-0.21,107.0992515,28.029
1202,0.49,-0.73,153.386252,50.615
1203,0.36,-1.18,68.83137346,51.19
1204,0.378,0.06,171.7063813,53.447
1205,0.296,-0.88,160.9853794,54.215
1206,0.363,-0.8,190.4523937,57.659
1207,0.458,0.24,101.8090618,42.351
1208,0.472,-0.09,101.1082132,60.716
1209,0.518,0.13,129.3559577,57.62
1210,0.601,0.09,68.67306569,44.355
1211,0.567,0.8,113.7067995,12.838
1212,0.502,-0.21,88.26457523,56.447
1213,0.447,1.89,63.21009391,35.201
1214,0.575,-0.06,121.0002968,67.047
1215,0.454,1.25,92.4243565,63.024
1216,0.573,-0.73,159.142595,51.214
1217,0.485,0.88,69.6284032,63.843
1218,0.454,0.02,77.76540453,52.391
1219,0.528,1.14,131.4578229,50.097
1220,0.475,0.13,80.86981238,57.067
1221,0.566,0.21,134.8299693,39.272
1222,0.454,1.07,79.21117135,48.81
1223,0.239,0.69,56.20648616,97.782
1224,0.417,0.54,114.4949774,19.575
1225,0.44,-0.21,156.5980809,57.521
1226,0.288,-1.74,116.8924431,53.833
1227,0.585,-0.54,122.4014142,46.356
1228,0.577,-0.36,121.8390308,37.861
1229,0.582,0.21,64.23717531,73.805
1230,0.582,-0.8,63.35580822,49.098
