year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1949,1.22,13.25700092,6.859000206,-1.083999991,19.65699959,18.82799911,0.69,9.405000567,115.8899956,-0.496666667,2.967500046,15.84325004
1950,1.157,10.57000065,4.131000042,-5.222000122,17.00900078,25.96999931,3.17,6.984750465,170.4969959,3.126666667,0.868499965,13.10175025
1951,1.083,10.36400032,4.368000031,-2.049000025,16.36000061,68.53900146,4.63,7.523500264,211.711998,4.346666667,1.592999995,13.45525002
1952,1.172,12.15400028,6.002999783,-1.980000019,18.30599976,55.36899948,-1.94,9.166000366,141.737999,0.893333333,3.097249925,15.23525
1953,1.18,12.53300095,6.198999882,-4.420000076,18.86700058,49.27799988,-1.89,9.079250574,130.0370007,-0.813333333,2.866499961,15.29225016
1954,1.108,11.36900043,5.052999973,-2.000999928,17.68600082,32.20800018,-1.52,8.968250394,140.866003,-1.43,2.805499978,15.13175035
1955,1.166,13.8220005,7.171999931,-1.264999986,20.47200012,25.28800011,-1.35,9.220250368,128.2119999,-0.97,3.173749953,15.26775002
1956,1.176,10.61900043,4.114999771,-0.634000003,17.12400055,30.96800041,-2.59,9.422750592,83.49300003,0.136666667,3.405499891,15.44149971
1957,1.178,12.13800049,5.524000168,-2.309000015,18.75200081,31.60700035,3.97,8.818000376,204.5200024,4.363333333,2.56175001,15.07475019
1958,1.122,12.16600037,5.670000076,1.628000021,18.66399956,49.39099884,1.01,8.97475028,207.038002,1.966666667,2.754500002,15.19599986
1959,1.149,11.34100056,4.474999905,-4.744999886,18.20899963,25.35499954,1.24,8.629250437,103.7950001,1.086666667,2.186000049,15.07375002
1960,1.16,10.10300064,2.931999922,-2.490999937,17.27499962,60.8370018,-2.96,8.988750279,110.5220032,-2.723333333,2.259000033,15.7192502
1961,1.153,13.2300005,6.583000183,-2.16899991,19.87700081,61.34899902,2.68,10.12100053,112.8290005,-0.756666667,3.686500013,16.55650043
1962,1.141,10.28200054,3.496000051,-2.614000082,17.06800079,64.66400146,2.37,7.845000505,202.927002,2.84,1.607250005,14.08350039
1963,1.165,11.91400051,5.484000206,-1.35800004,18.34399986,12.27900028,-1.88,8.971500397,135.1980009,0.343333333,2.781000018,15.16275001
1964,1.136,9.816000938,3.036000013,-2.11500001,16.59799957,43.73600006,0.73,8.356000602,192.3799935,1.416666667,2.07525,14.63849998
1965,1.147,9.701000214,3.039000034,-3.78399992,16.36300087,50.43299866,3.7,7.328000247,159.5099945,3.893333333,1.048750088,13.60750043
