year,chron,ppt.jja,tmax.paug,pdsi.poct,tmax.lsum,stream.yel,swe.yel
1781,0.79,,,,-1.19,82.37329444,86.553
1782,0.797,,,,-0.69,53.92453832,46.72
1783,1.048,,,,0.15,68.04346724,50.854
1784,0.383,,,,0.63,104.6613749,54.261
1785,0.686,,,,-0.13,92.63741665,62.416
1786,1.171,,,,0.61,105.6297947,43.977
1787,1.369,,,,-2.51,122.1198987,60.584
1788,1.132,,,,0.52,94.79521928,25.89
1789,1.159,,,,-0.71,145.1397717,65.644
1790,0.674,,,,0,127.2876989,60.209
1791,1.049,,,,-0.73,122.1198987,43.535
1792,1.086,,,,0.07,154.0942508,21.124
1793,0.643,,,,0.4,69.6284032,59.316
1794,1.006,,,,1.56,74.43658417,31.269
1795,0.613,,,,1.33,50.09408352,45.213
1796,1.239,,,,0.43,122.4014142,52.337
1797,1.007,,,,-1,104.6613749,63.89
1798,0.224,,,,0.38,64.23717531,40.519
1799,0.818,,,,0.77,141.8359871,52.064
1800,0.693,,,,1.14,40.62435096,41.202
1801,0.751,,,,-0.55,113.1843642,63.488
1802,0.776,,,,1.68,120.4443509,31.207
1803,0.528,,,,-0.12,106.6071751,61.883
1804,0.478,,,,0.31,77.9446723,47.416
1805,0.476,,,,0.15,102.043756,53.754
1806,0.269,,,,-0.13,71.5791333,94.749
1807,0.268,,,,0.19,73.75414546,48.156
1808,0.284,,,,0.89,74.60817822,49.391
1809,0.577,,,,-1.21,106.1173596,79.847
1810,0.807,,,,-1.69,162.4749588,76.066
1811,0.961,,,,-0.76,163.6011814,57.607
1812,1.115,,,,0.59,90.11278986,41.056
1813,1.112,,,,-0.41,98.35273369,58.175
1814,1.478,,,,0.27,63.7949697,43.111
1815,1.395,,,,-0.75,110.6079735,60.78
1816,1.061,,,,0.75,86.25542821,35.14
1817,1.462,,,,0.64,96.33551769,44.69
1818,0.972,,,,0.39,82.5631845,66.079
1819,0.847,,,,-0.1,105.6297947,58.632
1820,1.193,,,,-0.46,138.6074059,47.939
1821,1.377,,,,0.48,126.4114566,52.955
1822,0.948,,,,-0.83,62.77495868,52.847
1823,0.69,,,,0.32,97.67567823,37.461
1824,0.971,,,,0.03,77.9446723,75.724
1825,1.211,,,,0.45,99.72095651,47.888
1826,1.105,,,,-0.12,132.6741871,52.614
1827,1.439,,,,0.74,126.7028651,38.949
1828,1.369,,,,-0.96,165.4955938,43.364
1829,1.52,,,,0.66,92.63741665,44.892
1830,0.951,,,,0.51,88.46804609,60.962
1831,0.789,,,,1.11,86.65356517,44.332
1832,0.885,,,,0,167.7978669,86.608
1833,1.203,,,,0.33,108.0902286,38.382
1834,0.981,,,,0.14,66.03686316,42.602
1835,1.031,,,,-2.13,137.02078,55.581
1836,1.131,,,,0.56,108.3394024,67.832
1837,1.377,,,,-1.03,174.4963855,62.838
1838,1.331,,,,-2.61,163.2249091,85.13
1839,1.451,,,,-0.87,123.5339805,12.283
1840,0.745,,,,-0.47,100.6436632,61.724
1841,1.703,,,,0.06,96.33551769,45.145
1842,1.104,,,,0.3,66.64789473,69.948
1843,1.348,,,,0.12,141.18431,31.52
1844,1.482,,,,-1.55,87.45536074,61.594
1845,1.468,,,,-1.29,66.95552744,75.962
1846,0.858,,,,0.36,60.36517104,49.259
1847,1.138,,,,-0.22,105.1444698,68.996
1848,0.564,,,,-1.47,79.39377195,42.184
1849,1.302,,,,-0.76,172.4989419,51.739
1850,0.957,,,,-0.18,100.6436632,47.371
1851,1.314,,,,-1.06,89.6987592,49.781
1852,0.656,,,,0.32,93.92613149,44.415
1853,1.293,,,,0.08,200.8105083,61.028
1854,1.451,,,,0.55,162.8495023,44.911
1855,0.629,,,,0.37,55.05369031,59.833
1856,0.721,,,,1.47,72.57489823,56.402
1857,0.481,,,,0.85,85.07195936,56.485
1858,0.757,,,,-0.93,92.4243565,59.371
1859,0.975,,,,-0.17,89.9055362,44.814
1860,0.784,,,,-0.93,112.9240474,52.219
1861,0.622,,,,0.77,86.05704623,65.806
1862,0.941,,,,-0.1,105.1444698,60.549
1863,0.212,,,,1.29,60.226335,42.636
1864,0.231,,,,0.57,74.26538478,64.287
1865,0.47,,,,-0.13,83.32713224,52.103
1866,0.629,,,,-1.48,186.9762458,43.984
1867,0.727,,,,0.02,122.1198987,62.39
1868,0.654,,,,-0.43,146.820411,53.635
1869,0.688,,,,0.02,90.11278986,33.66
1870,0.735,,,,0.7,100.4121892,55.009
1871,0.681,,,,0.97,64.38525729,49.326
1872,0.813,,,,-0.51,102.7510895,79.074
1873,0.901,,,,0.42,125.2525094,50.564
1874,0.914,,,,0.6,91.15624679,40.531
1875,0.984,,,,-2.37,104.9026443,66.333
1876,0.61,,,,-0.15,104.1804995,70.764
1877,1.231,,,,0.31,123.2498603,45.457
1878,1.377,,,,0.07,80.12839348,43.115
1879,1.438,,,,-0.82,85.85912051,58.928
1880,1.197,,,,-1.63,105.6297947,85.573
1881,0.849,,,,0.24,94.35967481,69.45
1882,0.777,,,,0.47,81.05623655,52.554
1883,0.852,,,,-1.59,96.55759399,73.282
1884,1.051,,,,-0.93,133.5938407,58.827
1885,1.017,,,,-0.33,148.5205113,46.081
1886,0.725,,,,-0.24,72.57489823,32.201
1887,1.115,,,,-0.28,106.1173596,86.218
1888,1.184,,,,-0.14,84.0981487,39.428
1889,0.28,,,,1.04,39.06487469,40.952
1890,0.52,,,,0.29,137.6532392,78.408
1891,0.942,,,,0.11,96.33551769,50.154
1892,0.931,,,,0.14,78.66588548,48.525
1893,0.633,,,,0.37,67.41964098,71.852
1894,0.863,,,,1.22,115.0234622,76.166
1895,0.747,119.7510014,,,0.12,97.67567823,51.53
1896,0.566,118.8479996,19.82999992,-1.19,-0.39,70.59703077,60.707
1897,0.872,173.4939985,19.41900063,-1.45,1.23,83.32713224,51.385
1898,1.056,170.4600029,21.13299942,-1.96,0.91,114.2316462,46.339
1899,1.05,130.8830032,20.9489994,-1.24,-2.4,91.36638364,81.648
1900,1.377,47.13399982,18.56200027,-2.25,0.86,73.92416633,35.131
1901,1.23,139.2360001,19.4640007,-4.87,0.82,79.76023695,37.163
1902,0.468,122.005002,20.69099998,-2.52,0.64,66.49460883,75.675
1903,0.804,142.5199986,18.95999908,-3.26,0.56,96.78018223,58.463
1904,0.537,118.927002,19.43000031,-1.57,0.25,109.3418545,35.795
1905,1.269,175.791996,19.65099907,-1.99,-0.17,86.05704623,31.461
1906,1.3,162.7590027,20.37400055,1.88,-0.96,132.9800327,46.457
1907,1.982,207.1559982,19.05900002,0.83,-2.22,184.8359464,64.048
1908,2.056,184.0830002,18.79400063,2.23,-1.04,147.8381215,23.439
1909,1.668,151.7740002,17.58600044,2.87,0.51,122.1198987,59.215
1910,1.586,81.22299957,21.43300056,1.36,1.36,113.1843642,54.05
1911,1.164,138.2650032,19.44599915,-1.39,-0.18,123.2498603,64.413
1912,1.19,162.9260025,18.04700089,0.97,-0.47,121.5588088,59.496
1913,1.552,211.5320053,17.36400032,3.56,0.04,189.1413287,53.435
1914,1.23,129.9500008,20.5739994,2.61,0.92,181.4623102,33.541
1915,1.399,259.6189957,20.90099907,0.11,-1,90.73742188,62.71
1916,1.522,149.612999,20.47999954,4.24,-0.33,145.4743534,64.403
1917,1.408,81.50000191,20.5909996,2.58,-1.04,123.2498603,58.429
1918,1.461,135.9459991,19.47200012,-1.26,-0.92,110.3535822,57.283
1919,0.906,43.04499912,18.58799934,0.35,1.4,55.18060217,40.938
1920,0.773,158.2969971,21.22699928,-4.24,-0.33,112.4052085,71.728
1921,1.009,138.401001,20.2310009,-0.66,1.28,109.5939135,56.334
1922,0.563,177.4730034,20.24300003,-1.64,0.66,88.26457523,57.902
1923,0.585,216.625,22.88800049,-0.91,-1.22,118.7917925,32.251
1924,1.178,130.4340038,17.31399918,3,0.42,64.23717531,60.42
1925,0.814,155.4880028,19.35700035,0.66,-0.17,143.8091222,56.596
1926,0.884,173.9370003,19.08799934,2.56,0.66,78.66588548,45.067
1927,1.208,182.295002,18.64800072,-0.5,-1.87,153.7398438,61.569
1928,1.187,192.0860062,15.68999958,3.26,0.17,131.7608645,47.664
1929,1.285,111.0259991,19.60700035,2.07,0.92,107.3461407,46.274
1930,0.531,194.0669994,21.79000092,-2.04,-0.22,81.80624067,56.288
1931,1.129,117.0030003,19.1590004,3.39,1.59,57.78118383,32.492
1932,1.19,191.3279991,19.93899918,-3.21,0.8,83.51922111,56.658
1933,0.698,107.1559982,21.18400002,-0.8,1.08,74.26538478,51.508
1934,0.466,190.2439995,18.77199936,-3.04,1.33,40.25190468,61.305
1935,0.775,81.04899979,20.53000069,-3.92,0.8,95.67234865,48.954
1936,0.725,148.1660004,22.71199989,-3.75,1,80.3131085,47.154
1937,0.95,162.1159992,20.84499931,-4.06,1.13,104.6613749,31.744
1938,1.039,190.7999992,22.27799988,-3.02,0.45,111.1185167,57.037
1939,0.918,157.0179996,21.56900024,1.74,1.17,65.88498259,41.964
1940,0.673,135.7979965,21.79999924,-1.93,1.53,85.66165002,29.063
1941,1.071,215.7400055,23.8220005,-2.71,-1.12,97.45103041,38.595
1942,0.968,111.7740002,18.71100044,3.34,0.32,124.6770264,45.009
1943,0.907,151.7310009,20.67300034,0.62,-0.18,110.6079735,65.848
1944,0.859,275.2130041,21.28300095,0.84,-0.04,100.8756708,48.406
1945,0.502,209.2690029,20.50499916,1.21,-0.59,112.6643293,32.063
1946,0.521,113.0100021,19.29299927,1.45,1.28,91.36638364,62.873
1947,0.645,197.5960045,19.93000031,1.81,0.81,145.1397717,62.261
1948,0.825,197.7730026,21.07900047,0.69,0.65,96.55759399,46.342
1949,0.717,110.3009977,21.50200081,-1.48,2.01,104.9026443,55.013
1950,0.928,172.3830051,22.54000092,-0.7,0.17,139.8899244,61.696
1951,1.113,191.4100037,20.18700027,2.79,-2.79,125.2525094,55.089
1952,1.238,139.7919998,18.48999977,3.63,0.06,95.01374483,66.702
1953,0.674,120.073,20.61800003,-2.8,-0.3,91.99970516,60.167
1954,0.788,135.6690025,21.93499947,-2.7,-0.35,65.43143356,57.836
1955,0.444,117.0849991,20.47299957,-1.96,1.12,64.68244614,58.912
1956,0.675,79.64100075,23.01799965,-1.95,0.55,101.5749075,67.279
1957,0.974,189.3199921,19.91300011,-2.78,0.61,113.1843642,39.687
1958,0.905,188.6590004,21.76300049,3.73,-0.03,81.05623655,58.633
1959,0.721,108.5019989,21.19799995,-1.56,0.11,79.94410329,54.48
1960,0.545,107.513999,20.59499931,0.9,0.36,71.74414024,48.839
1961,0.43,105.4990005,19.69000053,-2.58,0.56,58.31582655,48.339
1962,1.009,191.0089989,22.04599953,-0.58,-0.71,149.8947546,65.333
1963,1.047,124.9890032,18.47299957,2.35,0.68,112.9240474,39.29
1964,0.919,185.3820019,21.11899948,-1.62,-1.85,100.1812475,59.953
1965,1.061,156.887001,18.81100082,1.05,-1.83,142.1629528,67.933
1966,0.706,118.8659992,18.47699928,3.7,0.49,92.85096795,37.621
1967,1.141,206.7500095,19.67000008,-1.49,-0.04,119.8909594,42.808
1968,0.962,225.3619957,21.6970005,2.5,-4.57,104.9026443,72.304
1969,0.749,201.0440083,17.13500023,2.87,1.1,91.15624679,46.574
1970,0.683,129.1079979,23.50099945,-1.2,0.94,102.5147686,58.988
