year,std,stream.yel,swe.yel,tmax.lsum
1016,1.215,79.94410329,49.865,-0.36
1017,1.193,107.841628,52.735,-0.73
1018,1.29,65.13080343,46.546,1.03
1019,1.177,121.8390308,40.438,-0.39
1020,0.878,107.5935992,63.74,-1.78
1021,0.702,73.92416633,77.335,-0.66
1022,0.674,88.26457523,67.346,-0.02
1023,0.832,134.8299693,47.444,1.29
1024,1.089,153.386252,37.127,0.95
1025,0.991,102.043756,49.845,-0.36
1026,1.111,162.4749588,55.555,1.18
1027,0.903,106.3619854,73.266,-0.02
1028,0.961,100.8756708,59.607,-0.21
1029,0.825,97.45103041,55.363,-0.58
1030,1.046,99.72095651,40.371,0.32
1031,1.326,127.8752323,28.998,1.25
1032,0.912,102.2789911,39.095,-0.43
1033,0.721,140.212404,49.387,0.51
1034,0.952,61.48744336,68.344,-0.36
1035,0.828,63.7949697,71.747,-1.07
1036,1.221,84.29201495,60.38,-0.43
1037,1.163,84.87629929,51.414,0.35
1038,1.093,104.4206604,64.336,-0.06
1039,0.853,93.27954855,66.079,-0.77
1040,0.801,68.04346724,47.88,-0.28
1041,1.06,81.99482353,44.649,0.39
1042,0.987,71.41450586,55.907,-0.21
1043,1.062,77.40810495,54.092,-2.3
1044,1.014,137.9705627,60.033,0.02
1045,1.121,183.5635447,50.786,-0.17
1046,1.453,162.1012768,52.187,1.07
1047,1.106,112.4052085,46.647,0.77
1048,1.041,90.73742188,56.178,0.92
1049,1.16,128.4654775,57.504,-1.82
1050,0.914,116.0877611,36.621,1.52
1051,1.2,129.6541539,45.693,1.4
1052,1.269,81.43037514,57.051,1.4
1053,0.902,72.74220065,61.782,0.43
1054,0.924,104.9026443,64.451,0.47
1055,1.015,72.24144687,58.675,1.89
1056,0.568,73.92416633,67.516,2.38
1057,0.703,116.0877611,53.521,1.85
1058,1.1,124.1041875,55.199,0.62
1059,0.673,65.43143356,68.335,0.92
1060,0.893,92.4243565,54.935,1.74
1061,0.945,113.7067995,40.225,1.33
1062,0.751,84.48632812,43.931,1.93
1063,0.697,110.099776,67.324,1.03
1064,0.886,140.859595,65.852,0.28
1065,0.752,113.1843642,53.297,1.52
1066,0.827,105.1444698,49.086,0.47
1067,0.674,83.90472832,83.529,0.8
1068,0.906,57.38342096,53.51,0.17
1069,0.596,57.25144276,76.25,1.25
1070,0.559,66.95552744,87.906,1.03
