year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt. jja,pdsi.aso,tmin.mjja,tmax.mjja
1957,0.995,11.48300076,3.792999983,-3.032999992,19.17399979,24.01399994,3.91,8.318000436,191.6520005,4.326666667,1.217250049,15.4202497
1958,1.006,11.56500053,4.414999962,-0.319000006,18.71500015,36.90999985,-1.57,8.420500398,190.1800041,0.636666667,1.292999988,15.54900002
1959,0.989,10.53300095,3.08100009,-5.828999996,17.98699951,18.49900055,-0.69,7.818250597,107.3360024,-0.583333333,0.774749995,14.86249995
1960,1.001,9.5,1.817000031,-3.888999939,17.18499947,54.07099915,-3.07,8.205500364,107.1079989,-2.806666667,0.843750037,15.56874967
1961,0.969,12.39700031,5.311999798,-3.410000086,19.48399925,46.49200058,-0.89,9.360500455,104.8190012,-2.353333333,2.307749868,16.41400027
1962,0.951,9.003000259,2.177000046,-3.512000084,15.82900047,62.55699921,2.19,7.150000215,193.1379967,2.51,0.406499982,13.89449978
1963,1,11.20500088,3.887000084,-2.822999954,18.52400017,8.175999641,0.63,8.314250469,125.9260015,1.296666667,1.419999983,15.20974994
1964,0.966,9.003000259,1.671000004,-3.546000004,16.33699989,43.56100082,1.19,7.589750469,186.5510006,1.89,0.625249997,14.55524993
1965,0.946,9.069000244,2.138999939,-4.982999802,16,48.75,3.79,6.643500417,157.0870018,4.013333333,-0.050999969,13.33875024
1966,0.999,10.04500008,2.890000105,-1.256999969,17.20100021,43.34000015,-1.36,8.726750255,118.566,-1.35,1.764499985,15.68999982
1967,0.989,11.51600075,3.963000059,-4.896999836,19.06999969,16.7140007,2.43,7.532000542,208.1839981,2.526666667,0.469250023,14.59574986
1968,0.861,8.006999969,1.199000001,-5.287000179,14.81599998,89.78399658,2.87,6.678000271,226.5219937,3.186666667,-0.271500036,13.62874997
1969,0.975,13.14700031,5.427000046,-2.242000103,20.86700058,10.74400043,0.79,8.314750433,203.5329981,1.04,1.007749975,15.62325001
1970,1.013,12.77400017,4.994999886,-4.085999966,20.55400085,30.87999916,2.19,8.651750267,128.7919979,1.813333333,1.481249958,15.82325029
1971,0.978,13.47500038,5.967999935,-3.924999952,20.9829998,35.29399872,2.45,8.215500355,115.2880001,2.013333333,1.100999967,15.33050013
1972,0.968,10.73700047,3.532999992,-3.862999916,17.94199944,61.10200119,3.85,7.545250237,176.8429985,3.593333333,0.653750003,14.43799973
1973,0.975,11.13400078,3.617000103,-4.948999882,18.65299988,33.31999969,-1.3,7.780750334,115.8439999,-1.226666667,0.455750069,15.10699987
1974,0.979,8.407999992,0.806999981,-5.290999889,16.01000023,58.47100067,1.21,7.556500271,138.2500019,1.44,0.369000003,14.74475014
1975,0.972,8.511000633,1.363999963,-6.343999863,15.65999985,35.13899994,3.62,6.351000488,207.0530014,3.443333333,-0.540749937,13.24374986
1976,1.008,9.391000748,2.22300005,-3.453000069,16.55999947,29.62000084,2.45,7.882000506,142.2999992,2.853333333,0.650749967,15.11474991
1977,1.034,8.625,1.35800004,-3.746000051,15.89299965,59.33200073,-3.14,7.801000237,148.4980011,-3.043333333,0.979750037,14.62275004
1978,0.994,9.124000549,1.425999999,-4.896999836,16.8220005,13.27600002,1.66,6.754000187,103.2740011,1.9,-0.273749963,13.78299999
1979,0.988,10.39800072,3.588000059,-4.204999924,17.20899963,58.05699921,-1.97,7.914500475,139.2919979,-1.71,1.171000004,14.65875006
1980,0.976,8.527000427,1.572000027,-2.75,15.4829998,39.07799911,1.61,7.652500451,156.5319977,0.886666667,0.992500007,14.31325006
1981,1.022,11.93500042,4.926000118,-3.568000078,18.94499969,21.7840004,-0.98,7.77150023,174.0949974,-0.353333333,1.189500049,14.35424972
1982,1.015,11.82300091,2.657999992,-4.902999878,20.98999977,42.41799927,2.86,7.095250458,188.0649948,2.656666667,-0.454749972,14.64625001
1983,1.01,12.43600082,5.487999916,-6.287000179,19.38699913,31.71100044,1.48,7.18000035,150.1650028,1.316666667,0.45449996,13.90674973
