year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1922,0.749,9.323000908,2.766000032,15.88099957,42.63600159,-1.72,9.717500448,1.82100004,17.61524987,183.4470024,0.5825
1923,0.689,14.0510006,8.416999817,19.68600082,62.54299927,1.02,9.640250444,4.057249963,15.22425008,232.3329963,0.955
1924,0.743,10.28700066,2.940000057,17.63500023,55.12799835,1.65,7.593750358,0.566250026,14.62150025,136.9179993,-1.8975
1925,0.812,12.06300068,4.110000134,20.0170002,48.95999908,-1.38,8.68075037,2.139500026,15.22250032,162.4649963,1.865
1926,0.773,11.54900074,4.428999901,18.67099953,33.75600052,1.5,8.447250605,2.340249963,14.55500031,180.5090027,-1.7575
1927,0.806,11.00800037,5.313000202,16.70400047,47.25500107,-1.08,8.116500378,3.269750088,12.96425009,184.9329948,2.4475
1928,0.869,11.71000099,5.880000114,17.54000092,41.79399872,2.73,7.982500434,1.602250039,14.36399984,196.9440002,1.9475
1929,0.861,12.36900043,4.339000225,20.40099907,66.51599884,2.34,9.135000288,2.497500122,15.77399969,117.6520004,-0.2925
1930,0.695,13.29000092,7.368999958,19.21199989,28.15200043,-1.58,9.683000565,3.187000007,16.17999983,183.8620014,-3.2675
1931,0.774,12.19300079,3.862999916,20.52499962,52.69499969,-2.14,9.832250714,3.048749939,16.61699986,107.5680008,-3.895
1932,0.863,10.90700054,3.249000072,18.56500053,36.45800018,-4.06,9.067250252,2.159000069,15.97650027,199.3430061,-1.8925
1933,0.897,13.3920002,4.798999786,21.98500061,44.73400116,-1.17,10.29450023,3.227499932,17.36225033,114.9279976,-2.1075
1934,0.801,13.79400063,7.56799984,20.02199936,10.5909996,-2.27,8.719500363,2.052499972,15.38774967,171.4560032,-3.9325
1935,0.949,12.80600071,4.206999779,21.40699959,50.67499924,-3.44,9.321750402,1.389749933,17.25524974,82.70100022,-2.235
1936,0.963,15.87100029,9.951000214,21.79100037,23.74200058,-2.97,11.43550038,5.217750073,17.65375018,153.1490021,-3.7
1937,0.951,13.27600098,7.673999786,18.87800026,33.13199997,-3.94,9.755750537,2.992499936,16.52000022,163.4849997,-2.755
1938,0.977,10.49100018,3.595000029,17.38899994,54.75799942,-2.57,9.927500486,2.988000036,16.86775041,202.7010002,1.765
1939,1.083,12.65700054,4.605999947,20.70999908,61.06600189,2.19,8.955000401,1.522999961,16.38750005,155.9430027,-1.2575
1940,1.106,12.33200073,4.697000027,19.96800041,22.29500008,-1.46,10.52175045,3.040500015,18.00425005,140.451004,-1.07
1941,0.946,11.31500053,4.138000011,18.49399948,32.16400146,-2.1,8.382000506,2.416749954,14.34825015,231.737999,-1.9075
1942,0.816,11.1420002,3.028000116,19.25699997,34.06700134,-0.74,7.910250425,0.632250056,15.18924975,113.0840015,1.6875
1943,0.753,11.45400047,3.736000061,19.17300034,24.82900047,1.08,8.724500299,1.873000056,15.57700038,165.2660008,2.2875
1944,0.925,9.100000381,2.178999901,16.02199936,23.33699989,1.92,7.926000476,1.780499995,14.07299972,283.8900089,1.4375
1945,1.033,10.81700039,4.048999786,17.58699989,37.16400146,2.29,7.125500381,0.888749957,13.36325002,223.6419964,1.18
1946,1.022,12.0170002,4.755000114,19.28000069,22.24500084,1.92,8.488500237,1.735750042,15.2422502,119.6590004,-0.09
1947,0.902,12.72800064,5.907999992,19.54800034,35.9679985,-0.74,8.614500523,1.774000004,15.45549989,206.562006,0.61
1948,1.012,11.63200092,5.385000229,17.87999916,23.47500038,0.8,10.27375054,4.399249971,16.14924979,203.916996,0.5975
1949,0.924,12.62500095,5.756999969,19.49300003,47.39199829,1.17,10.15325058,3.780250058,16.52699995,115.8899956,0.3875
1950,0.711,9.705000877,3.365999937,16.04400063,22.62599945,-1.23,8.378500581,2.483999998,14.27325034,170.4969959,2.285
1951,0.804,12.09300041,6.184000015,18.00399971,61.2879982,2.7,7.996250272,2.107000001,13.88674998,211.711998,3.4475
1952,0.81,11.62700081,5.059999943,18.19400024,64.29499817,4.26,10.77900028,4.780249894,16.77850008,141.737999,3.31
1953,0.72,14.11300087,7.532000065,20.69400024,42.30799866,2.84,11.05075073,4.854499996,17.24775004,130.0370007,1.45
