year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt. jja,pdsi.aso,tmin.mjja,tmax.mjja
1947,1.029,9.574000359,1.547999978,-4.579999924,17.60000038,48.45299911,-0.58,6.604250252,214.0089932,0.33,-0.386999995,13.5962503
1948,1.02,10.43800068,3.650000095,-2.08100009,17.22699928,38.61500168,-1.18,7.564750373,224.0900002,0.246666667,1.429999977,13.70074964
1949,1.077,11.53800011,4.548999786,-2.819999933,18.52899933,19.69300079,0.69,7.842750311,122.6050034,-0.433333333,0.941999942,14.74499965
1950,1.019,8.840000153,1.819000006,-7.47300005,15.86200047,27.6590004,3.02,5.296750143,192.4660072,2.91,-1.391750008,11.98550022
1951,0.919,8.61700058,2.351999998,-3.927999973,14.88399982,67.74900055,4.67,5.903000295,229.6500015,4.33,-0.441999972,12.24924994
1952,1.002,10.29900074,3.721999884,-4.09499979,16.87700081,55.52899933,0.69,7.389250457,156.4160004,1.88,0.868750006,13.91075015
1953,0.993,10.85800076,4.136000156,-5.920000076,17.57999992,49.0719986,-1.74,7.514000461,137.1559963,-0.673333333,0.852250007,14.17674994
1954,0.971,9.558000565,2.936000109,-4.513999939,16.18099976,32.96900177,-1.4,7.195250511,150.1959992,-1.353333333,0.577500075,13.81400013
1955,1.011,12.1050005,5.235000134,-3.571000099,18.97599983,25.60099983,-1.29,7.653250337,137.828001,-0.3,1.189999968,14.1172502
1956,1.007,8.890000343,2.03399992,-2.710000038,15.74600029,31.72999954,-2.69,7.752000391,94.10200119,0.043333333,1.306499958,14.19825006
1957,1.034,10.74000072,3.663000107,-3.753999949,17.81800079,32.35599899,4.07,7.544250488,216.6360054,4.46,0.975250051,14.11375046
1958,1.009,10.71600056,4.038000107,-0.55400002,17.39500046,50.47999954,1.12,7.496750355,221.1589928,2.1,0.824250028,14.17000008
1959,0.991,9.702000618,2.686000109,-6.81799984,16.71800041,25.69599915,1.08,6.957000434,114.0699959,1.026666667,0.287750095,13.62625015
1960,1.007,8.568000793,1.154999971,-4.633999825,15.9829998,62.3429985,-3,7.423000455,120.5049973,-2.763333333,0.35425007,14.49274993
1961,1.005,12.03100014,5.359000206,-4.090000153,18.70400047,57.31100082,2.91,8.75175029,118.7160006,-0.713333333,2.086499989,15.41824985
1962,0.992,8.75,1.735000014,-4.452000141,15.76599979,65.3730011,2.59,6.4107503,216.5340004,3.08,-0.132000044,12.95424986
1963,1.017,10.59700012,3.976000071,-3.696000099,17.21899986,12.79100037,0.58,7.539750218,143.8459987,1.38,1.133750011,13.94674993
1964,0.988,8.522000313,1.654000044,-3.953999996,15.39000034,47.50999832,0.7,7.017250299,200.6819973,1.403333333,0.555250064,13.48000026
1965,0.986,8.407000542,1.91900003,-5.059000015,14.89500046,52.85599899,4.12,6.112000242,172.2509995,4.28,-0.181500003,12.40649986
1966,1.001,9.523000717,2.624000072,-2.082000017,16.42399979,48.29600143,-1.04,7.954500437,130.347002,-1.15,1.37924999,14.53050017
1967,1.004,10.88300037,4.03399992,-5.514999866,17.73200035,16.9109993,2.83,6.69850035,233.9579964,2.93,0.157000005,13.24075007
1968,0.849,7.349000454,0.885999978,-6.334000111,13.81299973,99.33999634,3.58,5.928000242,256.0869923,3.863333333,-0.837750048,12.69474983
1969,0.996,12.53300095,5.59800005,-2.921999931,19.46899986,16.00499916,1.07,7.439750433,228.5420018,1.426666667,0.553499997,14.32724977
1970,0.955,12.36200047,4.881000042,-4.729000092,19.84399986,32.06900024,2.51,7.940250307,146.4660034,2.066666667,1.142999977,14.73850012
1971,0.977,12.84300041,5.902999878,-4.473999977,19.78300095,43.24000168,3.01,7.298750311,126.0540009,2.303333333,0.59124998,14.00700021
1972,0.97,10.01300049,3.342000008,-4.859000206,16.68400002,58.9280014,4.1,6.613750339,183.7380066,3.63,0.038499952,13.18949986
1973,0.982,10.27000046,3.094000101,-5.894999981,17.4470005,42.03900146,-0.9,6.843500316,119.8240013,-1.03,-0.20099999,13.88850021
1974,0.948,7.1510005,-0.275999993,-6.43900013,14.57800007,71.91100311,1.89,6.554250456,159.064003,2.243333333,-0.251250051,13.36025
1975,0.925,7.593000412,0.676999986,-7.040999889,14.51000023,41.2179985,3.92,5.545000374,229.553997,3.676666667,-0.99650003,12.08724999
1976,0.991,8.629000664,1.878999949,-3.739000082,15.38099957,34.47100067,2.87,7.117250383,160.6360016,3.3,0.431999922,13.8039999
1977,1.019,7.872000217,0.600000024,-4.494999886,15.14400005,70.17199707,-2.97,6.929500312,163.5469971,-2.906666667,0.294250041,13.56599975
1978,0.956,8.293000221,0.874000013,-5.803999901,15.7130003,15.66399956,2.26,5.803500377,123.0899983,2.32,-1.031999991,12.64000022
1979,0.99,9.758000374,3.38499999,-5.114999771,16.13299942,69.09200287,-2.02,7.050500244,154.5100021,-1.77,0.567500079,13.53425002
1980,1.006,7.456000328,0.569000006,-2.927000046,14.34300041,49.10300064,1.32,6.748500347,175.7060013,1.03,0.317500014,13.18000007
1981,1.025,11.06100082,4.336999893,-3.982000113,17.78700066,24.14500046,-1.19,6.914000332,193.5699997,-0.66,0.497749925,13.33125031
1982,1.014,11.25800037,3.00999999,-5.994999886,19.50699997,51.22800064,3.32,6.263250113,204.1009979,2.99,-0.686999977,13.21474981
1983,1.033,11.60100079,5.453000069,-7.125,17.75,41.23600006,2.03,6.334000289,179.125,1.89,0.055249989,12.61374986
1984,1.049,10.81600094,2.711999893,-7.205999851,18.92200089,60.27399826,2.83,6.174750507,187.5109978,2.32,-1.193000019,13.5432502
1985,0.979,8.475000381,0.425999999,-4.459000111,16.52599907,51.64599991,2.07,7.333500266,163.8919983,0.63,-0.34225002,15.01049972
1986,1.009,10.56000042,1.930999994,-6.31799984,19.19000053,50.4659996,3.35,7.322500318,197.1359978,2.963333333,-0.650749982,15.29700041
1987,1.037,6.982000351,-0.957000017,-2.312000036,14.92199993,69.98400116,0.91,7.11400032,259.4090042,1.64,-0.346000017,14.57500029
1988,1.079,10.00500011,1.04400003,-4.018000126,18.96699905,7.31799984,-3.45,8.897500277,69.59700155,-3.023333333,1.234750003,16.56174934
1989,0.973,9.341000557,1.651000023,-5.644999981,17.03100014,71.50700378,0.93,7.186250448,180.9440041,0.94,-0.543249965,14.91550016
1990,0.97,9.227000237,1.84800005,-7.919000149,16.60700035,59.43700027,0.66,5.605750084,150.4430008,0.056666667,-1.481250018,12.69325018
1991,1.018,10.26000023,2.667000055,-5.747000217,17.85300064,37.3219986,1.14,6.488250293,118.8599987,0.903333333,-0.587000072,13.56499994
1992,0.987,8.440999985,0.907000005,-3.757999897,15.97599983,19.65399933,2.38,5.91350019,316.0009994,2.616666667,-0.934999973,12.76249981
1993,0.88,6.815000534,0.030999999,-4.625,13.60099983,50.85599899,3.02,4.430500269,258.027996,3.033333333,-2.037250017,10.89949989
1994,0.987,10.13200092,2.256000042,-4.164999962,18.00900078,25.26600075,0.94,6.928750336,153.2590046,-0.476666667,-0.57099998,14.42900038
1995,0.969,9.524000168,1.988000035,-7.525000095,17.06100082,36.01100159,2.99,5.393750258,179.7649994,2.69,-1.664500028,12.45250022
1996,1.013,9.266000748,1.174999952,-6.394000053,17.35899925,27.49699974,2.39,6.10825038,80.23699951,2.19,-1.305250019,13.52249992
1997,0.95,8.784000397,1.952000022,-5.800000191,15.61699963,66.81300354,5.13,6.276750267,225.4240036,4.853333333,-0.583250031,13.13800001
1998,1.004,10.2310009,2.95600009,-5.073999882,17.50600052,54.97399902,0.63,6.428250402,246.8590049,1.143333333,-0.280999959,13.13849986
1999,1.005,9.976000786,2.957999945,-6.008999825,16.99500084,59.47200012,-0.55,6.071000323,183.3890038,0.56,-0.685249985,12.82849991
2000,1.059,10.84000015,2.983999968,-4.611000061,18.6970005,26.20599937,-1.22,7.117500275,118.3349991,-1.243333333,0.052999973,14.18300009
2001,1.05,11.44000053,3.398999929,-5.004000187,19.48200035,15.78899956,-2.23,7.660000473,172.0219975,-2.466666667,0.386249915,14.93549991
2002,0.991,8.302000046,1.021999955,-6.882999897,15.58399963,50.94499969,1.02,6.620250233,209.8239975,1.106666667,-0.504749999,13.74600017
2003,1.065,11.81800079,4.852000237,-5.315000057,18.78499985,17.11899948,-2.58,7.679000288,90.37099838,-2.406666667,0.474750042,14.88400006
2004,0.944,7.787000179,1.175999999,-4.886000156,14.39900017,76.09300232,2.33,5.755250171,202.6490021,1.886666667,-0.676500052,12.18850017
2005,0.987,9.657000542,2.474999905,-5.71600008,16.84199905,59.18199921,-0.51,6.54925032,191.3220024,-0.053333333,-0.260750025,13.36049974
2006,1.01,9.723000526,2.013999939,-4.396999836,17.43400002,17.87299919,-1.79,8.315750301,105.2989979,-2.506666667,0.840500035,15.79224992
2007,1.004,10.84500027,3.575999975,-4.56099987,18.11499977,47.86299896,-0.74,8.834500313,170.9840012,-1.593333333,1.328000047,16.34150028
2008,0.967,10.43100071,2.884000063,-5.28000021,17.97999954,21.97400093,-1.09,6.776500463,105.2570038,-1.106666667,-0.508750081,14.06374967
2009,0.954,9.220000267,2.025000095,-6.068999767,16.41500092,49.93999863,1.78,6.198000312,231.9419976,1.793333333,-0.872499913,13.26925039
2010,0.978,9.48500061,2.26699996,-9.06000042,16.70400047,58.34500122,-0.44,5.585000336,199.8839989,0.406666667,-1.490500123,12.66149998
2011,1.028,10.6970005,3.276000023,-6.070000172,18.11899948,35.48699951,0.97,6.508000277,123.0369988,1.413333333,-0.458000064,13.47500002
2012,1.04,11.25900078,3.497999907,-5.988999844,19.02199936,24.11899948,-2.47,7.848750487,102.2090015,-2.543333333,0.389999986,15.30824983
2013,1.024,11.46700096,4.052000046,-4.395999908,18.88299942,26.99300003,0.56,8.150250375,126.7830009,-0.846666667,0.914249987,15.38699985
2014,0.982,8.832000732,2.780999899,-5.119999886,14.88599968,97.8259964,2.38,6.742750406,209.3709946,2.876666667,-0.178750009,13.66549969
